Ukazatel,Čtvrtletí,Šetření,"ČR, regiony, kraje-Stát","ČR, regiony, kraje-Region","ČR, regiony, kraje-Kraj",Hodnota,MJ_TEXT,MJ_SYMBOL
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Severovýchod,Pardubický kraj,40582.4840089184,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Jihovýchod,Kraj Vysočina,41989.3846133322,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Jihovýchod,Jihomoravský kraj,45769.7330946412,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Morava,Olomoucký kraj,40526.3003900429,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Morava,Zlínský kraj,40113.7902978437,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Moravskoslezsko,Moravskoslezský kraj,40994.6759186952,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2024,Pracovištní metoda,Česko,,,48349.932629095,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2024,Pracovištní metoda,Česko,Praha,,59858.6662724016,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2024,Pracovištní metoda,Česko,Střední Čechy,,48414.1508649837,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2024,Pracovištní metoda,Česko,Jihozápad,,45431.3783135151,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2024,Pracovištní metoda,Česko,Severozápad,,43970.2835936933,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2024,Pracovištní metoda,Česko,Severovýchod,,44572.383075684,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2024,Pracovištní metoda,Česko,Jihovýchod,,46970.6768325899,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2024,Pracovištní metoda,Česko,Střední Morava,,44103.8461656756,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2024,Pracovištní metoda,Česko,Moravskoslezsko,,43341.4117955607,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2024,Pracovištní metoda,Česko,Praha,Hlavní město Praha,59858.6662724016,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2024,Pracovištní metoda,Česko,Střední Čechy,Středočeský kraj,48414.1508649837,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2024,Pracovištní metoda,Česko,Jihozápad,Jihočeský kraj,44989.4695823122,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2024,Pracovištní metoda,Česko,Jihozápad,Plzeňský kraj,45869.3075188211,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2024,Pracovištní metoda,Česko,Severozápad,Karlovarský kraj,42001.0493804642,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2024,Pracovištní metoda,Česko,Severozápad,Ústecký kraj,44660.6951082096,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2024,Pracovištní metoda,Česko,Severovýchod,Liberecký kraj,44296.2745426469,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2024,Pracovištní metoda,Česko,Severovýchod,Královéhradecký kraj,44797.9164488244,koruna česká,Kč
